city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kambalda,-31.2,121.67,Australia,AU,Western Australia,,2539,2539
Kambalda West,-31.2114,121.7129,Australia,AU,Western Australia,,1789,1789
Karratha,-20.7364,116.8464,Australia,AU,Western Australia,,16708,16708
Katanning,-33.6908,117.5553,Australia,AU,Western Australia,,3687,3687
Kojonup,-33.84,117.15,Australia,AU,Western Australia,,1165,1165
Kununurra,-15.7736,128.7386,Australia,AU,Western Australia,,5308,5308
Kwinana,-32.2394,115.7702,Australia,AU,Western Australia,,20086,17549
Leschenault,-33.245,115.735,Australia,AU,Western Australia,,2932,2932
Lesmurdie,-31.994,116.05,Australia,AU,Western Australia,,8437,8437
Little Grove,-35.07,117.87,Australia,AU,Western Australia,,1503,1503
Lower Chittering,-31.556,116.087,Australia,AU,Western Australia,,2127,2127
Lower King,-34.9578,117.9383,Australia,AU,Western Australia,,1832,1832
Mandurah,-32.5289,115.7231,Australia,AU,Western Australia,,7837,7837
Manjimup,-34.2411,116.1464,Australia,AU,Western Australia,,4349,4349
Margaret River,-33.955,115.075,Australia,AU,Western Australia,,6392,6392
Merredin,-31.482,118.279,Australia,AU,Western Australia,,2850,2850
Moora,-30.638,116.01,Australia,AU,Western Australia,,1773,1773
Mount Barker,-34.63,117.6669,Australia,AU,Western Australia,,1905,1905
Mundijong,-32.284,115.973,Australia,AU,Western Australia,,1232,1232
Narrogin,-32.936,117.178,Australia,AU,Western Australia,,4274,4274
Newman,-23.3539,119.7319,Australia,AU,Western Australia,,4567,4567
Northam,-31.6531,116.6661,Australia,AU,Western Australia,,6548,6548
Nullagine,-21.888,120.107,Australia,AU,Western Australia,,1701,1701
Paraburdoo,-23.201,117.671,Australia,AU,Western Australia,,1380,1380
Perth,-31.9522,115.8589,Australia,AU,Western Australia,admin,2059484,2039200
Pinjarra,-32.63,115.8711,Australia,AU,Western Australia,,4910,4910
Port Denison,-29.2833,114.9167,Australia,AU,Western Australia,,1410,1410
Port Hedland,-20.31,118.6011,Australia,AU,Western Australia,,14320,4180
Quindalup,-33.6671,115.1451,Australia,AU,Western Australia,,1336,1336
Ravenswood,-32.5833,115.833,Australia,AU,Western Australia,,2176,2176
Serpentine,-32.365,115.981,Australia,AU,Western Australia,,1265,1265
Tom Price,-22.6939,117.795,Australia,AU,Western Australia,,3005,3005
Toodyay,-31.55,116.45,Australia,AU,Western Australia,,1408,1408
Two Rocks,-31.495,115.588,Australia,AU,Western Australia,,2990,2990
Vasse,-33.69,115.3,Australia,AU,Western Australia,,2479,2479
Wagin,-33.3167,117.35,Australia,AU,Western Australia,,1824,1495
Waroona,-32.8667,115.9167,Australia,AU,Western Australia,,2934,2934
Wickham,-20.675,117.1403,Australia,AU,Western Australia,,2295,2295
Wooroloo,-31.803,116.314,Australia,AU,Western Australia,,2642,2642
Wundowie,-31.7667,116.383,Australia,AU,Western Australia,,1352,1352
Yallingup,-33.6397,115.0263,Australia,AU,Western Australia,,1029,1029
Yanchep,-31.55,115.634,Australia,AU,Western Australia,,8868,8868
York,-31.8883,116.7686,Australia,AU,Western Australia,,2548,2535
Yunderup,-32.5833,115.8,Australia,AU,Western Australia,,3114,3114
